City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
95,konstantinovka,49.6167,127.9833,13.69,26,15,8.07,RU
96,lata,40.1629,-8.3327,14.49,97,0,1.76,PT
97,thompson,55.7435,-97.8558,10.09,57,20,2.06,CA
98,narasapur,16.45,81.6667,27.73,75,67,3.57,IN
99,tazacorte,28.629,-17.9293,20.54,76,99,5.66,ES
100,sambava,-14.2667,50.1667,22.92,84,4,4.3,MG
101,port blair,11.6667,92.75,30.15,68,79,1.46,IN
102,haiku-pauwela,20.9219,-156.3051,29.01,48,40,9.77,US
103,krusevac,43.58,21.3339,13.2,97,100,1.23,RS
104,khandyga,62.6667,135.6,3.28,70,15,2.27,RU
105,fremont,37.5483,-121.9886,15.5,79,100,5.14,US
106,carigara,11.25,124.6833,29.04,75,100,2.71,PH
107,viqueque,-8.8673,126.3658,29.12,65,33,3.06,TL
108,vorgashor,67.5833,63.95,-2.28,93,100,1.55,RU
109,aykhal,66.0,111.5,-0.07,91,100,8.4,RU
110,afaahiti,-17.75,-149.2833,29.48,81,34,8.54,PF
111,san patricio,28.017,-97.5169,24.97,83,45,4.57,US
112,fada,9.5667,8.3,21.92,78,49,0.31,NG
113,tuy hoa,13.0833,109.3,30.77,59,91,0.47,VN
114,shuangyang,43.5242,125.6736,17.94,66,100,4.43,CN
115,rosales,15.8944,120.6328,33.51,45,88,4.23,PH
116,el granada,37.5027,-122.4694,14.41,91,40,4.63,US
117,yingchuan,34.1628,113.4639,18.25,93,100,5.42,CN
118,necochea,-38.5473,-58.7368,10.57,49,0,5.19,AR
119,gornopravdinsk,60.05,69.9,13.69,70,100,4.15,RU
120,lihue,21.9789,-159.3672,27.58,69,0,7.2,US
121,le portel,50.7056,1.5757,9.83,79,100,5.8,FR
122,grande prairie,55.1667,-118.8027,26.1,11,20,8.75,CA
123,la ronge,55.1001,-105.2842,21.14,17,75,3.09,CA
124,lubao,14.9167,120.55,32.04,56,95,6.51,PH
125,kapa'a,22.0752,-159.319,27.99,70,0,7.2,US
